,unique_id,ds,volume,trade_count,y,SMA_20_normalized,SMA_50_normalized,EMA_20_normalized,BBL_20_2.0_normalized,BBM_20_2.0_normalized,BBU_20_2.0_normalized,RSI_normalized,MACD_normalized,MACD_signal_normalized,MACD_hist_normalized
5539,BTC/USD,2023-08-21 20:00:00+00:00,0.053887409,8.0,0.342031329858418,0.34471359091258824,0.34629078306397637,0.34595290622679853,0.3462179316577967,0.34471359091258824,0.3364946612578086,0.5389075480948926,0.3658673662168658,0.3600044873473974,0.38765367542948254
5540,BTC/USD,2023-08-21 21:00:00+00:00,0.037540098,3.0,0.3452731125581309,0.34479720540061765,0.3463375692154089,0.3464103333582285,0.3459579992966551,0.34479720540061765,0.3369060883886641,0.6045921515939173,0.3731820722062066,0.3627857577048817,0.4022434498102389
5541,BTC/USD,2023-08-21 22:00:00+00:00,0.037944158,4.0,0.3431218298408586,0.3448686869363117,0.34639625629649584,0.34661531480612257,0.3458909327389248,0.3448686869363117,0.3371090195861114,0.5516565742381473,0.37597070630602103,0.3656386968796193,0.40301031307873664
5542,BTC/USD,2023-08-21 23:00:00+00:00,0.041,1.0,0.3428530732572047,0.3449356080772953,0.346428130385599,0.34677467899111736,0.34584922995918377,0.3449356080772953,0.33727878242586673,0.5451608206228429,0.3777596391848779,0.36832386618005436,0.40121515921553796
5543,BTC/USD,2023-08-22 00:00:00+00:00,0.002870975,2.0,0.34186743041359746,0.345007399621932,0.3464649240717068,0.34682316354346493,0.3458764020361722,0.345007399621932,0.33739193479870994,0.5207771209948626,0.3777631579320242,0.37047279394445554,0.39547732297396027
5544,BTC/USD,2023-08-22 01:00:00+00:00,0.018128462,1.0,0.3400275459454142,0.3449141802954308,0.34642955013997806,0.3466883848848778,0.3458240514650967,0.3449141802954308,0.337261379092458,0.47716480686501983,0.37519791202069713,0.3716143140781634,0.3846979640004147
5545,BTC/USD,2023-08-22 02:00:00+00:00,0.028571258,3.0,0.3405072468547762,0.3449737255803701,0.34634017471880946,0.34661301938383365,0.3459106560717123,0.3449737255803701,0.33729378556964024,0.4896093711965923,0.373826039314735,0.372218622583167,0.378949747673542
5546,BTC/USD,2023-08-22 03:00:00+00:00,0.02635,2.0,0.3400301130021962,0.34503267078951955,0.3463225255959989,0.3464985037059767,0.34602466409921595,0.34503267078951955,0.337298747064134,0.4776932433221539,0.37209438093670927,0.37231214805215834,0.3734843198417271
5547,BTC/USD,2023-08-22 04:00:00+00:00,0.03,1.0,0.33876271784997597,0.3449652501896838,0.3462675102052218,0.34627183513728227,0.34589307429930866,0.3449652501896838,0.33729421270923343,0.4462410035171919,0.36901829932051233,0.3716943203475612,0.3658727721608709
5548,BTC/USD,2023-08-22 05:00:00+00:00,0.019361351,6.0,0.33975443962665736,0.3449974195094769,0.3462218590507055,0.3461630463833268,0.34595489391150186,0.3449974195094769,0.3372973042698892,0.47594889249055916,0.36801784186864156,0.37097478297359615,0.36478446887251503
5549,BTC/USD,2023-08-22 06:00:00+00:00,0.002160369,3.0,0.34050813819393655,0.3452187341685386,0.3461803011617758,0.3461377996660955,0.34664915093142795,0.3452187341685386,0.3370606280830756,0.4983014233146548,0.36832901080349717,0.37046921966956353,0.3670740120927165
5550,BTC/USD,2023-08-22 07:00:00+00:00,0.011327426,3.0,0.3419529989729991,0.34533882456258036,0.34618595312242234,0.34625524776696703,0.34676775650648833,0.34533882456258036,0.3371797476621636,0.5396704680516914,0.3706108174566341,0.3705785684614454,0.3736536309253382
5551,BTC/USD,2023-08-22 08:00:00+00:00,0.01396017,3.0,0.3401007961976185,0.34543415231247593,0.346176543913257,0.34618166864012545,0.3470282752688737,0.34543415231247593,0.3371147472416244,0.48599821083448447,0.36989519300743323,0.37050490875988606,0.3716954223651632
5552,BTC/USD,2023-08-22 09:00:00+00:00,0.066955117,2.0,0.3398833094424728,0.3452773893108412,0.3461429714571462,0.34609397993011265,0.34696879787635454,0.3452773893108412,0.336867808219732,0.4798753032922478,0.3690780755383354,0.3702619888565077,0.3698843218535592
